properties.mag,properties.place,properties.time
2.6,"52 km SSW of Pilot Point, Alaska",1759054321302
4.5,"145 km W of Pangai, Tonga",1759053972680
5.2,"18 km N of Simav, Turkey",1759053556765
2.67,"19 km W of Petrolia, CA",1759049994680
5.5,south of the Fiji Islands,1759049579832
3.71,"8 km SE of Sparks, Oklahoma",1759047445054
3.11,"22 km SSW of Mammoth, Wyoming",1759045119260
3.27,"22 km SSW of Mammoth, Wyoming",1759044593740
2.89,"18 km S of Guánica, Puerto Rico",1759038094820
4.6,"43 km W of Ollagüe, Chile",1759037143120
4.7,"78 km S of Severo-Kuril’sk, Russia",1759027044195
4.3,"71 km SSW of Vallenar, Chile",1759026927419
4.5,"258 km ESE of Onagawa Chō, Japan",1759023397474
3.39,"59 km N of Charlotte Amalie, U.S. Virgin Islands",1759011757110
4.4,"123 km E of Petropavlovsk-Kamchatsky, Russia",1759011183150
5.1,"225 km W of Bandon, Oregon",1759011169949
2.5,"2 km SSE of Salcha, Alaska",1759008524695
3.2,"214 km WNW of Bandon, Oregon",1758993117558
3.4,"54 km NNW of San Antonio, Puerto Rico",1758988865490
2.9,"13 km NNE of Trout Valley, New Mexico",1758985668795
4.6,"178 km NE of Lospalos, Timor Leste",1758981769110
4.8,"251 km ESE of Onagawa Chō, Japan",1758980238035
